('应用',) : 0.134868
('人脸识别',) : 0.111842
('购物券',) : 0.111842
('手段',) : 0.118421
('作用',) : 0.111842
('推荐',) : 0.154605
('利润',) : 0.197368
('客户',) : 0.207237
('商品',) : 0.207237
('用户',) : 0.243421
('规则',) : 0.128289
('避免',) : 0.190789
('道德风险',) : 0.187500
('保险公司',) : 0.223684
('技术',) : 0.161184
('购买',) : 0.177632
('数据',) : 0.404605
('销售额',) : 0.121711
('电子商务',) : 0.144737
('商场',) : 0.128289
('制造业',) : 0.167763
('网站',) : 0.151316
('提高质量',) : 0.154605
('保留',) : 0.118421
('半导体',) : 0.154605
('识别',) : 0.184211
('打折',) : 0.115132
('个性化',) : 0.217105
('系统',) : 0.128289
('促销',) : 0.121711
('模式',) : 0.154605
('成本',) : 0.190789
('保险公司', '模式') : 0.111842
('数据', '道德风险') : 0.134868
('用户', '客户') : 0.144737
('手段', '促销') : 0.115132
('用户', '网站') : 0.131579
('提高质量', '半导体') : 0.148026
('用户', '避免') : 0.111842
('数据', '商品') : 0.134868
('半导体', '利润') : 0.121711
('购买', '手段') : 0.115132
('用户', '个性化') : 0.157895
('商场', '购买') : 0.121711
('保留', '电子商务') : 0.118421
('模式', '客户') : 0.118421
('手段', '规则') : 0.115132
('成本', '利润') : 0.187500
('购买', '打折') : 0.115132
('个性化', '客户') : 0.121711
('保险公司', '成本') : 0.190789
('避免', '商品') : 0.108553
('打折', '规则') : 0.115132
('用户', '电子商务') : 0.125000
('利润', '商品') : 0.105263
('数据', '技术') : 0.131579
('商场', '手段') : 0.108553
('打折', '促销') : 0.115132
('手段', '打折') : 0.115132
('商场', '促销') : 0.111842
('用户', '成本') : 0.108553
('促销', '销售额') : 0.115132
('半导体', '避免') : 0.121711
('打折', '销售额') : 0.115132
('个性化', '电子商务') : 0.121711
('购物券', '商品') : 0.111842
('打折', '商品') : 0.115132
('客户', '电子商务') : 0.121711
('半导体', '保险公司') : 0.131579
('数据', '制造业') : 0.164474
('保险公司', '商场') : 0.101974
('数据', '购买') : 0.108553
('个性化', '识别') : 0.128289
('避免', '利润') : 0.187500
('用户', '模式') : 0.128289
